Ferdinand Cecil Hope-Grant,December 10  1840  London ,,Cambridge University,,,,May 7  1875  Paddington  London (aged 34 years 148 days) ,
Charles Edwin Heughan Hopkins,June 12  1987  Peterborough ,30 years 314 days,Cambridge MCCU ,,Right-hand bat,Right-arm medium-fast,,
David Charles Hopkins,February 11  1957  Birmingham  Warwickshire ,61 years 70 days,Warwickshire,,Right-hand bat,Right-arm medium,,
Ed Hopkins,date unknown ,,Cardiff MCCU,,,,,
ED Hopkins,date unknown ,,Cardiff MCCU,,,,Wicketkeeper,
Frank Jesse Hopkins,June 30  1875  King's Norton  Worcestershire ,,Hampshire ,,Left-hand bat,Left-arm medium,January 15  1930  Bellevue  Southampton  Hampshire (aged 54 years 199 days) ,
G Hopkins,date unknown ,,Cardiff UCCE,,,,Umpire,
Herbert Oxley Hopkins,July 6  1895  Adelaide  South Australia  Australia ,,Oxford University ,,Right-hand bat,,February 23  1972  Milverton  Somerset (aged 76 years 232 days) ,
John Anthony Hopkins,June 16  1953  Maesteg  Glamorgan  Wales ,64 years 310 days,Eastern Province ,,Right-hand bat,,Brother - ,
Jeffris David Hopkins,August 23  1950  Bridgend  Glamorgan  Wales ,67 years 242 days,,,,,Brother - ,
LE Hopkins,date unknown ,,Warwickshire 2nd XI,,,,,
Owain Charles Hopkins,December 18  1980  Bridgend  Glamorgan  Wales ,37 years 125 days,Wales Minor Counties,,,,,
