Roy Bhushan Indrajit,November 29  1979 ,38 years 144 days,Assam,,Right-hand bat,Right-arm medium,,
Kumar Shri Madhavsinhji Jadeja Indrajitsinhji,June 15  1937  Jamnagar  Gujarat ,,India ,,Right-hand bat,,Uncle - ,
Indrajit Orang,November 3  1999  Birbhum ,18 years 170 days,Cricket Association of Bengal Under-17s,,Right-hand bat,,,
Indrajit Singh,December 12  1979  Gauhati (now Guwahati)  Assam ,38 years 131 days,Assam,,Right-hand bat,Legbreak,,
Indrapal Singh,July 1  1966  Dhampur  Uttar Pradesh ,51 years 295 days,Uttar Pradesh,,Right-hand bat,,,
Raj Kumar Indravijaysinhji,date unknown ,,Nawanagar ,,,,June 14  1981  Jamnagar  Gujarat ,
Indresh Kumar,date unknown ,,Chittors Chetak,,Right-hand bat,Right-arm medium-fast,,
Ajit Indulkar,date unknown  Poona (now Pune)  Maharashtra ,,Maharashtra,,,,Father - ,
Hemant Ramchandra Indulkar,October 20  1972  Baroda  Gujarat ,45 years 184 days,Baroda,,Right-hand bat,Legbreak,,
Mahipatrao Shankarrao Indulkar,June 9  1919  Kolhapur  Maharashtra ,,Baroda ,,Right-hand bat,,Brother - ,
Vinit Ajit Indulkar,August 26  1984  Sholapur  Maharashtra ,33 years 239 days,Bombay Cricket Association President's XI ,,Right-hand bat,Right-arm medium,Grandfather - ,
Vijay S Indulkar,October 12  1937  Kolhapur  Maharashtra ,80 years 192 days,Baroda,,,,Brother - ,
Subbiah Indumathy,September 9  1982  Madras (now Chennai)  Tamil Nadu ,35 years 225 days,,,Right-hand bat,Right-arm offbreak,,
