W Andersen,date unknown ,,France,,,,,
WT Attrill,date unknown ,,France,,,,,
Arunkumar V Ayyavooraju,May 8  1986  Pondicherry  India ,31 years 349 days,France ,,Right-hand bat,Right-arm medium,,
Cameron W Beauclerk,October 19  1993 ,24 years 185 days,France Under-15s ,,,,,
Nicholas Bilweis,January 23  1988 ,30 years 89 days,France Under-19s,,,,,
David Laurent Bordes,August 20  1974  Marmande  Aquitaine ,43 years 245 days,France ,,Left-hand bat,Legbreak,,
J Braid,date unknown ,,France,,,,,
Andrew Bronsden,July 4  1992 ,25 years 292 days,France Under-15s,,,,,
W Browning,date unknown ,,France,,,,,
Leopold-Therese Brumant,October 15  1959  Guadeloupe ,58 years 189 days,France ,,Right-hand bat,Right-arm offbreak,Half-brother - ,
Valentine Brumant,July 23  1961  Guadeloupe ,56 years 273 days,France ,,Right-hand bat,Left-arm fast-medium,Half-brother - ,
Alan Bulman,January 2  1993 ,25 years 110 days,France Under-15s,,,,,
