Richard William Elviss,July 19  1945  Fulwood  Sheffield  Yorkshire ,72 years 277 days,Oxford University,,Left-hand bat,Right-arm offbreak,,
Georgia Amanda Elwiss,May 31  1991  Wolverhampton  Staffordshire ,26 years 326 days,England Women ,Middle-order batsman,Right-hand bat,Right-arm medium-fast,,
Matthew J Elworthy,date unknown ,,Harrow School,,,,Father - ,
Elyard,date unknown ,,F Beauclerk's XI,,,,,
John Ernest Emburey,August 20  1952  Peckham  London ,65 years 245 days,England ,,Right-hand bat,Right-arm offbreak,Peckham Manor Secondary School,
Connor John Emerton,June 5  1994 ,23 years 321 days,Cambridge MCCU,,Right-hand bat,Right-arm medium-fast,,
Emery,date unknown ,,Herefordshire,,,,,
Dennis Emery,date unknown ,,,,,,Umpire,
Kevin St John Dennis Emery,February 28  1960  Swindon  Wiltshire ,58 years 53 days,Hampshire,,Right-hand bat,Right-arm fast-medium,,
William Emery,August 25  1897  Pentrebach  Merthyr Tydfil  Glamorgan  Wales ,,Glamorgan ,,Right-hand bat,Right-arm fast-medium,December 13  1962  Gowerton  Glamorgan  Wales (aged 65 years 110 days) ,
