Manoj Nayak,date unknown ,,Odisha,,,,,
Manoj Sharma,May 13  1982  Kota  Rajasthan ,35 years 344 days,Rajasthan,,Right-hand bat,Right-arm offbreak,Manu,
Manoj Singh,September 11  1983  Ranchi  Bihar ,34 years 223 days,Jharkhand,,Right-hand bat,Slow left-arm orthodox,,
Manoj Singh,October 15  1990  Dehri  Bihar ,27 years 189 days,Madhya Pradesh Cricket Association XI,,Right-hand bat,,Wicketkeeper,
Manoj Singh,May 20  1972  Delhi ,45 years 337 days,Delhi,,Right-hand bat,Right-arm offbreak,,
Manoj Singh,October 15  1990  Dehri  Bihar ,27 years 189 days,Madhya Pradesh Under-14s,,Right-hand bat,,Wicketkeeper,
Manoj Singh,July 1  1976  Lucknow  Uttar Pradesh ,41 years 295 days,Uttar Pradesh,,Right-hand bat,,,
Bruce Edward Alexander Manson,December 7  1878 ,,Europeans (India),,,,November 4  1914  Tanga  British East Africa (aged 35 years 332 days) ,
Rishi Mansukhani,July 5  1993 ,24 years 291 days,Marwari College Ranchi,,Right-hand bat,,Marwari College Ranchi,
Mansur Ali Ahmed,July 10  1983  Shillong  Assam ,34 years 286 days,Assam,,Right-hand bat,Right-arm medium,Mansur Ali,
