Malcolm Williams,August 16  1949  Vergenogen  East Bank  Essequibo  British Guiana ,68 years 249 days,Essequibo,,Right-hand bat,Right-arm medium,,
Medroy Wycliffe Williams,May 17  1953  Boscobel  St Mary  Jamaica ,64 years 340 days,Jamaica,,Right-hand bat,,,
N Williams,date unknown ,,Jamaica,,,,,
Nelly Andrea Williams,August 16  1980  Trinidad &amp; Tobago ,37 years 249 days,West Indies Women,,Right-hand bat,Right-arm medium,,
Nyasha Niquette Vanecia Williams,December 24  1988 ,29 years 119 days,St Vincent and the Grenadines Women,,Left-hand bat,Right-arm offbreak,,
Oscar Williams,1932  St John's  Antigua ,86 years,Leeward Islands,,Right-hand bat,Right-arm medium,,
Oraine Williams,July 13  1992 ,25 years 283 days,,,Right-hand bat,Right-arm medium,,
Philton Williams,June 21  1994  Laventille  Trinidad ,23 years 305 days,Trinidad &amp; Tobago,,Right-hand bat,Right-arm fast,,
Prudence Nashella Williams,September 4  1977 ,40 years 230 days,Guyana Women,,Right-hand bat,Right-arm offbreak,,
Rackel Candis Williams,June 10  1991 ,26 years 316 days,Grenada Women,,Left-hand bat,Right-arm medium,,
Rashada Shieka Williams,February 23  1997 ,21 years 58 days,Jamaica Women,,Right-hand bat,,,
Shaquille Williams,date unknown ,,Combined Campuses and Colleges,,,,,
