Christopher Roderick James Marlow,September 30  1949  Bexhill-on-Sea  Sussex ,68 years 204 days,Cambridge University,,Left-hand bat,Right-arm medium,,
Francis William Marlow,October 8  1867  Tamworth  Staffordshire ,,Sussex,,Right-hand bat,Right-arm medium,August 7  1952  Hove  Sussex (aged 84 years 304 days) ,
Joseph Marlow,December 12  1854  Bulwell  Nottinghamshire ,,Derbyshire,,Right-hand bat,Right-arm medium,June 8  1923  Bulwell  Nottinghamshire (aged 68 years 178 days) ,
Thomas Marlow,December 15  1878  Rothley  Leicestershire ,,Leicestershire,,Left-hand bat,Left-arm slow-medium,August 13  1954  Southfields  Leicester (aged 75 years 241 days) ,
William Henry Marlow,February 13  1900  Wigston  Leicestershire ,,Leicestershire,,Left-hand bat,Left-arm medium,December 16  1975  Leicester (aged 75 years 306 days) ,
Arthur Verriour Marment,July 17  1917  Llandaff  Glamorgan ,,Glamorgan 2nd XI,,Right-hand bat,,Wicketkeeper,
Peter Thomas Marner,March 31  1936  Greenacres  Oldham  Lancashire ,,Lancashire ,,Right-hand bat,Right-arm medium,May 16  2007  Oldham (aged 71 years 46 days) ,
Dan Maroske,date unknown ,,Middlesex 2nd XI,,,,,
George Smith Marple,August 14  1868  Chester  Cheshire ,,Derbyshire,,,,August 12  1932  Ecclesall  Sheffield  Yorkshire (aged 63 years 364 days) ,
Christopher Marples,August 3  1964  Chesterfield  Derbyshire ,53 years 262 days,Derbyshire ,,Right-hand bat,Right-arm offbreak,Wicketkeeper,
