Joss Morgan,June 3  1998  Durban ,19 years 323 days,KwaZulu-Natal Under-15s,,Right-hand bat,,Kearsney College,
T Morgan,date unknown ,,,,,,Umpire,
Daniel Moriarty,December 2  1999 ,18 years 141 days,Western Province Under-17s,,Left-hand bat,Slow left-arm orthodox,,
Morkel,date unknown ,,Northern Rhodesia,,,,,
Adriaan Morkel,March 15  1880 ,,South Western Districts,,,,February 29  1940  Lichtenburg  Transvaal (aged 59 years 351 days) ,
Albert Morkel,August 14  1950  Vereeniging  Transvaal ,67 years 251 days,Southern Transvaal Country Districts,,Left-hand bat,Right-arm fast-medium,Son - ,
Denijs Paul Beck Morkel,January 25  1906  Plumstead  Cape Town  Cape Province ,,South Africa ,,Right-hand bat,Right-arm fast-medium,October 6  1980  Nottingham  England (aged 74 years 255 days) ,
Johannes Albertus Morkel,June 10  1981  Vereeniging  Transvaal ,36 years 316 days,South Africa ,Bowling allrounder,Left-hand bat,Right-arm medium-fast,Father - ,
Jan Willem Hurter Morkel,November 13  1890  Somerset West  Cape Province ,,Transvaal,,,,May 15  1916  East Africa (aged 25 years 184 days) ,
