Agha Shariq,December 2  1984  Mirpurkhas  Sind ,33 years 141 days,Hyderabad (Pakistan),,Right-hand bat,Right-arm medium-fast,,
Agha Sikander,date unknown ,,Lahore ,,,,,
Agha Tahir,December 6  1985  Sindh ,32 years 137 days,Rest of Sindh,,Right-hand bat,Right-arm bowler,,
Agha Zahid,January 7  1953  Lahore  Punjab ,65 years 105 days,Pakistan ,,Right-hand bat,Right-arm medium,,
Abdul Ahad Khan,September 25  1937  Lahore  Punjab ,80 years 209 days,Pakistan Railways,,Right-hand bat,Legbreak googly,,
Ahad Raza,June 6  1994  Sahiwal  Punjab ,23 years 320 days,Multan,,Right-hand bat,Right-arm offbreak,,
Ahfaz Saleem,date unknown ,,Pakistan International Airlines,,Right-hand bat,,,
Ahmad Rasheed,June 8  1991 ,26 years 318 days,University of Sargodha,,Right-hand bat,,,
Ahmad Shafiq,date unknown ,,Pakistan Under-19s,,,Slow left-arm orthodox,,
G M Ahmed,February 17  1959  Karachi  Sind ,59 years 64 days,Pakistan Automobiles Corporation,,Right-hand bat,Right-arm offbreak,,
Ahmed jnr,date unknown  Faisalabad ,,Faisalabad Wolves,,Right-hand bat,Slow left-arm orthodox,,
Ahmed Safi Abdullah,March 1  1998  Faisalabad ,20 years 52 days,Sui Gas Corporation of Pakistan,,Left-hand bat,,,
Ahmed Akram,date unknown ,,Punjab University Lahore,,,,,
