Faisal Dudhat,October 3  1988 ,29 years 201 days,Gujarat ,,Right-hand bat,Right-arm fast-medium,,
Garry Anthony Dumenil,January 21  1990  Chingleput  Tamil Nadu ,28 years 91 days,Chemplast,,Right-hand bat,Right-arm medium,,
Howard Cyril Frederick Vella Dunbar,October 20  1904  Poona (now Pune)  Maharashtra ,,Europeans (India),,,,July 23  1942  Ruweisat Ridge  El Alamein  Egypt (aged 37 years 276 days) ,
Duncan,date unknown ,,Europeans (India),,,,,
Bijeysinhji Laxmansinhji,March 7  1908 ,,Rajputana,,Left-hand bat,,Son - ,
Fakir Musaji Dungaria,October 6  1971 ,46 years 198 days,Gujarat,,,,,
Salim Aziz Durani,December 11  1934  Kabul  Afghanistan ,83 years 132 days,India ,,Left-hand bat,Slow left-arm orthodox,,
KS Dureja,date unknown ,,Orissa,,,,,
Jayaram Marla Durga Prasad,October 1  1979  Manipala  Karnataka ,38 years 203 days,Karnataka Under-16s,,Right-hand bat,Right-arm medium,Durga,
Durga Das,date unknown ,,Madhya Pradesh,,,,,
Durga Prasad,date unknown ,,Hyderabad (India),,,,,
Durga Prasad,April 10  1959  Delhi ,59 years 12 days,Railways,,Right-hand bat,Slow left-arm orthodox,,
Podium Durga Prasad,June 4  1991  Dharragudem  Andhra Pradesh ,26 years 322 days,Andhra,,Right-hand bat,Legbreak googly,,
A Durne,date unknown ,,Vidarbha,,,,,
